Year,State,Metric,Age Range,"Events per 1,000 women"
2016,VA,Pregnancy Rate,15-19,26.1
1988,WA,Pregnancy Rate,15-19,106.8
1992,WA,Pregnancy Rate,15-19,107.3
1996,WA,Pregnancy Rate,15-19,86.5
2000,WA,Pregnancy Rate,15-19,75.1
2005,WA,Pregnancy Rate,15-19,59.2
2006,WA,Pregnancy Rate,15-19,60.5
2007,WA,Pregnancy Rate,15-19,62.6
2008,WA,Pregnancy Rate,15-19,60.7
2009,WA,Pregnancy Rate,15-19,55.9
2010,WA,Pregnancy Rate,15-19,49.8
2011,WA,Pregnancy Rate,15-19,46.7
2012,WA,Pregnancy Rate,15-19,42.1
2013,WA,Pregnancy Rate,15-19,36.9
2014,WA,Pregnancy Rate,15-19,34
2015,WA,Pregnancy Rate,15-19,31.9
2016,WA,Pregnancy Rate,15-19,29.4
1988,WV,Pregnancy Rate,15-19,78.3
1992,WV,Pregnancy Rate,15-19,85.3
1996,WV,Pregnancy Rate,15-19,74.4
2000,WV,Pregnancy Rate,15-19,66.4
2005,WV,Pregnancy Rate,15-19,59.9
2006,WV,Pregnancy Rate,15-19,61.3
2007,WV,Pregnancy Rate,15-19,64.3
2008,WV,Pregnancy Rate,15-19,64.7
2009,WV,Pregnancy Rate,15-19,67.6
2010,WV,Pregnancy Rate,15-19,64.5
2011,WV,Pregnancy Rate,15-19,63.3
2012,WV,Pregnancy Rate,15-19,59.6
2013,WV,Pregnancy Rate,15-19,53.8
2014,WV,Pregnancy Rate,15-19,49.6
2015,WV,Pregnancy Rate,15-19,43.1
2016,WV,Pregnancy Rate,15-19,40.3
1988,WI,Pregnancy Rate,15-19,77
1992,WI,Pregnancy Rate,15-19,73
1996,WI,Pregnancy Rate,15-19,61.6
2000,WI,Pregnancy Rate,15-19,55.3
2005,WI,Pregnancy Rate,15-19,46.1
2006,WI,Pregnancy Rate,15-19,45.6
2007,WI,Pregnancy Rate,15-19,46.3
2008,WI,Pregnancy Rate,15-19,45.2
2009,WI,Pregnancy Rate,15-19,43.7
2010,WI,Pregnancy Rate,15-19,39.1
2011,WI,Pregnancy Rate,15-19,34.3
2012,WI,Pregnancy Rate,15-19,31.7
2013,WI,Pregnancy Rate,15-19,28.4
2014,WI,Pregnancy Rate,15-19,26.6
2015,WI,Pregnancy Rate,15-19,24.4
2016,WI,Pregnancy Rate,15-19,22.5
1988,WY,Pregnancy Rate,15-19,84.7
1992,WY,Pregnancy Rate,15-19,81.1
1996,WY,Pregnancy Rate,15-19,72.9
2000,WY,Pregnancy Rate,15-19,78.5
2005,WY,Pregnancy Rate,15-19,64.1
2006,WY,Pregnancy Rate,15-19,67.7
2007,WY,Pregnancy Rate,15-19,72.3
2008,WY,Pregnancy Rate,15-19,67.8
2009,WY,Pregnancy Rate,15-19,61.8
2010,WY,Pregnancy Rate,15-19,56.2
2011,WY,Pregnancy Rate,15-19,52.1
2012,WY,Pregnancy Rate,15-19,49.7
2013,WY,Pregnancy Rate,15-19,41.9
2014,WY,Pregnancy Rate,15-19,43.2
2015,WY,Pregnancy Rate,15-19,40.3
2016,WY,Pregnancy Rate,15-19,36.7
1988,AL,Pregnancy Rate,15-17,78.3
1992,AL,Pregnancy Rate,15-17,76.3
1996,AL,Pregnancy Rate,15-17,66.2
2000,AL,Pregnancy Rate,15-17,53.7
2005,AL,Pregnancy Rate,15-17,38.6
2006,AL,Pregnancy Rate,15-17,40.3
2007,AL,Pregnancy Rate,15-17,41.3
2008,AL,Pregnancy Rate,15-17,38.4
2009,AL,Pregnancy Rate,15-17,37.4
2010,AL,Pregnancy Rate,15-17,33.9
2011,AL,Pregnancy Rate,15-17,30.6
2012,AL,Pregnancy Rate,15-17,26.7
2013,AL,Pregnancy Rate,15-17,22.1
2014,AL,Pregnancy Rate,15-17,20.8
2015,AL,Pregnancy Rate,15-17,19.3
2016,AL,Pregnancy Rate,15-17,18.6
1988,AK,Pregnancy Rate,15-17,59.5
1992,AK,Pregnancy Rate,15-17,63
1996,AK,Pregnancy Rate,15-17,45.3
2000,AK,Pregnancy Rate,15-17,37.8
2005,AK,Pregnancy Rate,15-17,30.1
2006,AK,Pregnancy Rate,15-17,30.8
2007,AK,Pregnancy Rate,15-17,29.4
2008,AK,Pregnancy Rate,15-17,32.7
2009,AK,Pregnancy Rate,15-17,30.8
2010,AK,Pregnancy Rate,15-17,29.5
2011,AK,Pregnancy Rate,15-17,23.3
2012,AK,Pregnancy Rate,15-17,20
2013,AK,Pregnancy Rate,15-17,19.6
2014,AK,Pregnancy Rate,15-17,16
2015,AK,Pregnancy Rate,15-17,15.6
2016,AK,Pregnancy Rate,15-17,14.4
1988,AZ,Pregnancy Rate,15-17,79.3
1992,AZ,Pregnancy Rate,15-17,81.8
1996,AZ,Pregnancy Rate,15-17,76.2
2000,AZ,Pregnancy Rate,15-17,63.2
2005,AZ,Pregnancy Rate,15-17,51.2
2006,AZ,Pregnancy Rate,15-17,51.5
2007,AZ,Pregnancy Rate,15-17,48.4
2008,AZ,Pregnancy Rate,15-17,47.1
2009,AZ,Pregnancy Rate,15-17,38.2
2010,AZ,Pregnancy Rate,15-17,31.8
2011,AZ,Pregnancy Rate,15-17,27.3
2012,AZ,Pregnancy Rate,15-17,26.4
2013,AZ,Pregnancy Rate,15-17,21.6
2014,AZ,Pregnancy Rate,15-17,18.9
2015,AZ,Pregnancy Rate,15-17,16.7
2016,AZ,Pregnancy Rate,15-17,14.8
1988,AR,Pregnancy Rate,15-17,76.2
1992,AR,Pregnancy Rate,15-17,70.7
1996,AR,Pregnancy Rate,15-17,63.7
2000,AR,Pregnancy Rate,15-17,50.8
2005,AR,Pregnancy Rate,15-17,40.7
2006,AR,Pregnancy Rate,15-17,43.5
2007,AR,Pregnancy Rate,15-17,43.2
2008,AR,Pregnancy Rate,15-17,43.4
2009,AR,Pregnancy Rate,15-17,41.5
2010,AR,Pregnancy Rate,15-17,35.6
2011,AR,Pregnancy Rate,15-17,32.5
2012,AR,Pregnancy Rate,15-17,30.4
2013,AR,Pregnancy Rate,15-17,25.5
2014,AR,Pregnancy Rate,15-17,22.4
2015,AR,Pregnancy Rate,15-17,21.1
2016,AR,Pregnancy Rate,15-17,19.2
1988,CA,Pregnancy Rate,15-17,98.2
1992,CA,Pregnancy Rate,15-17,100.2
1996,CA,Pregnancy Rate,15-17,79.2
2000,CA,Pregnancy Rate,15-17,55.9
2005,CA,Pregnancy Rate,15-17,42.1
2006,CA,Pregnancy Rate,15-17,42.2
2007,CA,Pregnancy Rate,15-17,42.6
2008,CA,Pregnancy Rate,15-17,40.6
2009,CA,Pregnancy Rate,15-17,37.1
2010,CA,Pregnancy Rate,15-17,32.4
2011,CA,Pregnancy Rate,15-17,28.6
2012,CA,Pregnancy Rate,15-17,25.2
2013,CA,Pregnancy Rate,15-17,21.5
2014,CA,Pregnancy Rate,15-17,18.9
2015,CA,Pregnancy Rate,15-17,16.6
2016,CA,Pregnancy Rate,15-17,14.7
1988,CO,Pregnancy Rate,15-17,65.6
1992,CO,Pregnancy Rate,15-17,72.8
1996,CO,Pregnancy Rate,15-17,60
2000,CO,Pregnancy Rate,15-17,49
2005,CO,Pregnancy Rate,15-17,38.8
2006,CO,Pregnancy Rate,15-17,38.5
2007,CO,Pregnancy Rate,15-17,38.1
2008,CO,Pregnancy Rate,15-17,36.6
2009,CO,Pregnancy Rate,15-17,32.5
2010,CO,Pregnancy Rate,15-17,29.4
2011,CO,Pregnancy Rate,15-17,24
2012,CO,Pregnancy Rate,15-17,20.3
2013,CO,Pregnancy Rate,15-17,18.5
2014,CO,Pregnancy Rate,15-17,14.9
2015,CO,Pregnancy Rate,15-17,14.1
2016,CO,Pregnancy Rate,15-17,12.7
1988,CT,Pregnancy Rate,15-17,74.3
1992,CT,Pregnancy Rate,15-17,67
1996,CT,Pregnancy Rate,15-17,57.9
2000,CT,Pregnancy Rate,15-17,43.4
2005,CT,Pregnancy Rate,15-17,34
2006,CT,Pregnancy Rate,15-17,34.1
2007,CT,Pregnancy Rate,15-17,33.5
2008,CT,Pregnancy Rate,15-17,31.5
2009,CT,Pregnancy Rate,15-17,27.7
2010,CT,Pregnancy Rate,15-17,23.6
2011,CT,Pregnancy Rate,15-17,20.1
2012,CT,Pregnancy Rate,15-17,18
2013,CT,Pregnancy Rate,15-17,15.7
2014,CT,Pregnancy Rate,15-17,14.3
2015,CT,Pregnancy Rate,15-17,12.6
2016,CT,Pregnancy Rate,15-17,10.4
1988,DE,Pregnancy Rate,15-17,86.3
1992,DE,Pregnancy Rate,15-17,84.9
1996,DE,Pregnancy Rate,15-17,64.7
2000,DE,Pregnancy Rate,15-17,60.9
2005,DE,Pregnancy Rate,15-17,44.3
2006,DE,Pregnancy Rate,15-17,47
2007,DE,Pregnancy Rate,15-17,51
2008,DE,Pregnancy Rate,15-17,49.6
2009,DE,Pregnancy Rate,15-17,40.1
2010,DE,Pregnancy Rate,15-17,39.9
2011,DE,Pregnancy Rate,15-17,32.8
2012,DE,Pregnancy Rate,15-17,26
2013,DE,Pregnancy Rate,15-17,24.1
2014,DE,Pregnancy Rate,15-17,20.7
2015,DE,Pregnancy Rate,15-17,18.1
2016,DE,Pregnancy Rate,15-17,16.8
2000,DC,Pregnancy Rate,15-17,114.9
2005,DC,Pregnancy Rate,15-17,106.1
2006,DC,Pregnancy Rate,15-17,108.2
2007,DC,Pregnancy Rate,15-17,100
2008,DC,Pregnancy Rate,15-17,112.7
2009,DC,Pregnancy Rate,15-17,93.2
2010,DC,Pregnancy Rate,15-17,80.3
2011,DC,Pregnancy Rate,15-17,67.8
2012,DC,Pregnancy Rate,15-17,55.2
2013,DC,Pregnancy Rate,15-17,62.6
2014,DC,Pregnancy Rate,15-17,51
2015,DC,Pregnancy Rate,15-17,37.2
2016,DC,Pregnancy Rate,15-17,33.1
1988,FL,Pregnancy Rate,15-17,92.2
1992,FL,Pregnancy Rate,15-17,80.8
1996,FL,Pregnancy Rate,15-17,72
2000,FL,Pregnancy Rate,15-17,56.3
2005,FL,Pregnancy Rate,15-17,42
2006,FL,Pregnancy Rate,15-17,42.6
2007,FL,Pregnancy Rate,15-17,42.8
2008,FL,Pregnancy Rate,15-17,39.5
2009,FL,Pregnancy Rate,15-17,35.7
2010,FL,Pregnancy Rate,15-17,31.3
2011,FL,Pregnancy Rate,15-17,27.7
2012,FL,Pregnancy Rate,15-17,24.4
2013,FL,Pregnancy Rate,15-17,21.3
2014,FL,Pregnancy Rate,15-17,18.7
2015,FL,Pregnancy Rate,15-17,17.1
2016,FL,Pregnancy Rate,15-17,15.4
1988,GA,Pregnancy Rate,15-17,84.2
1992,GA,Pregnancy Rate,15-17,81.9
1996,GA,Pregnancy Rate,15-17,72
2000,GA,Pregnancy Rate,15-17,55.3
2005,GA,Pregnancy Rate,15-17,42.4
2006,GA,Pregnancy Rate,15-17,43.3
2007,GA,Pregnancy Rate,15-17,43.2
2008,GA,Pregnancy Rate,15-17,42.6
2009,GA,Pregnancy Rate,15-17,37.9
2010,GA,Pregnancy Rate,15-17,34.1
2011,GA,Pregnancy Rate,15-17,30.6
2012,GA,Pregnancy Rate,15-17,26.1
2013,GA,Pregnancy Rate,15-17,22.1
2014,GA,Pregnancy Rate,15-17,20.1
2015,GA,Pregnancy Rate,15-17,18.3
2016,GA,Pregnancy Rate,15-17,16.5
1988,HI,Pregnancy Rate,15-17,76
1992,HI,Pregnancy Rate,15-17,92.2
1996,HI,Pregnancy Rate,15-17,63.5
2000,HI,Pregnancy Rate,15-17,50
2005,HI,Pregnancy Rate,15-17,41.6
2006,HI,Pregnancy Rate,15-17,45.2
2007,HI,Pregnancy Rate,15-17,42.5
2008,HI,Pregnancy Rate,15-17,38.3
2009,HI,Pregnancy Rate,15-17,35.3
2010,HI,Pregnancy Rate,15-17,31.7
2011,HI,Pregnancy Rate,15-17,29.7
2012,HI,Pregnancy Rate,15-17,24.8
2013,HI,Pregnancy Rate,15-17,19.3
2014,HI,Pregnancy Rate,15-17,18.5
2015,HI,Pregnancy Rate,15-17,15.4
2016,HI,Pregnancy Rate,15-17,13.2
1988,ID,Pregnancy Rate,15-17,42.2
1992,ID,Pregnancy Rate,15-17,42.2
1996,ID,Pregnancy Rate,15-17,39.6
2000,ID,Pregnancy Rate,15-17,31.3
2005,ID,Pregnancy Rate,15-17,25
2006,ID,Pregnancy Rate,15-17,29.2
2007,ID,Pregnancy Rate,15-17,28.7
2008,ID,Pregnancy Rate,15-17,27.8
2009,ID,Pregnancy Rate,15-17,24
2010,ID,Pregnancy Rate,15-17,22
2011,ID,Pregnancy Rate,15-17,16.6
2012,ID,Pregnancy Rate,15-17,17.2
2013,ID,Pregnancy Rate,15-17,13
2014,ID,Pregnancy Rate,15-17,12.5
2015,ID,Pregnancy Rate,15-17,12.2
2016,ID,Pregnancy Rate,15-17,10.8
1988,IL,Pregnancy Rate,15-17,71.8
1992,IL,Pregnancy Rate,15-17,68.1
1996,IL,Pregnancy Rate,15-17,69
2000,IL,Pregnancy Rate,15-17,53.8
2005,IL,Pregnancy Rate,15-17,39.9
2006,IL,Pregnancy Rate,15-17,40.5
2007,IL,Pregnancy Rate,15-17,40
2008,IL,Pregnancy Rate,15-17,39.5
2009,IL,Pregnancy Rate,15-17,35
2010,IL,Pregnancy Rate,15-17,32
2011,IL,Pregnancy Rate,15-17,28.6
2012,IL,Pregnancy Rate,15-17,25.3
2013,IL,Pregnancy Rate,15-17,21.7
2014,IL,Pregnancy Rate,15-17,18.4
2015,IL,Pregnancy Rate,15-17,17.3
2016,IL,Pregnancy Rate,15-17,14.6
1988,IN,Pregnancy Rate,15-17,55
1992,IN,Pregnancy Rate,15-17,55.6
1996,IN,Pregnancy Rate,15-17,51.3
2000,IN,Pregnancy Rate,15-17,39.1
2005,IN,Pregnancy Rate,15-17,30.3
2006,IN,Pregnancy Rate,15-17,29.7
2007,IN,Pregnancy Rate,15-17,31.1
2008,IN,Pregnancy Rate,15-17,29.2
2009,IN,Pregnancy Rate,15-17,29.6
2010,IN,Pregnancy Rate,15-17,26.4
2011,IN,Pregnancy Rate,15-17,22.5
2012,IN,Pregnancy Rate,15-17,21.7
2013,IN,Pregnancy Rate,15-17,19.4
2014,IN,Pregnancy Rate,15-17,17
2015,IN,Pregnancy Rate,15-17,15.7
2016,IN,Pregnancy Rate,15-17,13.8
1988,IA,Pregnancy Rate,15-17,44.2
1992,IA,Pregnancy Rate,15-17,36.6
1996,IA,Pregnancy Rate,15-17,34.3
2000,IA,Pregnancy Rate,15-17,29.4
2005,IA,Pregnancy Rate,15-17,25.4
2006,IA,Pregnancy Rate,15-17,26.2
2007,IA,Pregnancy Rate,15-17,26.1
2008,IA,Pregnancy Rate,15-17,26.4
2009,IA,Pregnancy Rate,15-17,25
2010,IA,Pregnancy Rate,15-17,21.8
2011,IA,Pregnancy Rate,15-17,18.7
2012,IA,Pregnancy Rate,15-17,17
2013,IA,Pregnancy Rate,15-17,14.7
2014,IA,Pregnancy Rate,15-17,13.3
2015,IA,Pregnancy Rate,15-17,12.2
2016,IA,Pregnancy Rate,15-17,10.2
1988,KS,Pregnancy Rate,15-17,58.2
1992,KS,Pregnancy Rate,15-17,53.9
1996,KS,Pregnancy Rate,15-17,46.5
2000,KS,Pregnancy Rate,15-17,35.5
2005,KS,Pregnancy Rate,15-17,29.2
2006,KS,Pregnancy Rate,15-17,29.5
2007,KS,Pregnancy Rate,15-17,31.4
2008,KS,Pregnancy Rate,15-17,31.6
2009,KS,Pregnancy Rate,15-17,28.6
2010,KS,Pregnancy Rate,15-17,26.3
2011,KS,Pregnancy Rate,15-17,21.5
2012,KS,Pregnancy Rate,15-17,20.2
2013,KS,Pregnancy Rate,15-17,17.5
2014,KS,Pregnancy Rate,15-17,16.2
2015,KS,Pregnancy Rate,15-17,13.7
2016,KS,Pregnancy Rate,15-17,13.1
1988,KY,Pregnancy Rate,15-17,65.4
1992,KY,Pregnancy Rate,15-17,63.2
1996,KY,Pregnancy Rate,15-17,52.6
2000,KY,Pregnancy Rate,15-17,40.2
2005,KY,Pregnancy Rate,15-17,33.4
2006,KY,Pregnancy Rate,15-17,35.2
2007,KY,Pregnancy Rate,15-17,35.2
2008,KY,Pregnancy Rate,15-17,34.4
2009,KY,Pregnancy Rate,15-17,34.6
2010,KY,Pregnancy Rate,15-17,30.6
2011,KY,Pregnancy Rate,15-17,27.5
2012,KY,Pregnancy Rate,15-17,24.6
2013,KY,Pregnancy Rate,15-17,22.5
2014,KY,Pregnancy Rate,15-17,20.4
2015,KY,Pregnancy Rate,15-17,18
2016,KY,Pregnancy Rate,15-17,16.3
1988,LA,Pregnancy Rate,15-17,68.9
1992,LA,Pregnancy Rate,15-17,72.7
1996,LA,Pregnancy Rate,15-17,62
2000,LA,Pregnancy Rate,15-17,49.8
2005,LA,Pregnancy Rate,15-17,35.3
2006,LA,Pregnancy Rate,15-17,40.1
2007,LA,Pregnancy Rate,15-17,41.9
2008,LA,Pregnancy Rate,15-17,41.3
2009,LA,Pregnancy Rate,15-17,40.1
2010,LA,Pregnancy Rate,15-17,35.9
2011,LA,Pregnancy Rate,15-17,31.2
2012,LA,Pregnancy Rate,15-17,28.5
2013,LA,Pregnancy Rate,15-17,25.1
2014,LA,Pregnancy Rate,15-17,22.4
2015,LA,Pregnancy Rate,15-17,21.7
2016,LA,Pregnancy Rate,15-17,19.4
1988,ME,Pregnancy Rate,15-17,53.7
1992,ME,Pregnancy Rate,15-17,40.9
1996,ME,Pregnancy Rate,15-17,33.7
2000,ME,Pregnancy Rate,15-17,26.3
2005,ME,Pregnancy Rate,15-17,20.8
2006,ME,Pregnancy Rate,15-17,19.6
2007,ME,Pregnancy Rate,15-17,19.1
2008,ME,Pregnancy Rate,15-17,19.5
2009,ME,Pregnancy Rate,15-17,18.3
2010,ME,Pregnancy Rate,15-17,15
2011,ME,Pregnancy Rate,15-17,16
2012,ME,Pregnancy Rate,15-17,13.7
2013,ME,Pregnancy Rate,15-17,13.7
2014,ME,Pregnancy Rate,15-17,12.5
2015,ME,Pregnancy Rate,15-17,10.3
2016,ME,Pregnancy Rate,15-17,9.1
1988,MD,Pregnancy Rate,15-17,85.4
1992,MD,Pregnancy Rate,15-17,79.3
1996,MD,Pregnancy Rate,15-17,68.2
2000,MD,Pregnancy Rate,15-17,52.9
2005,MD,Pregnancy Rate,15-17,34.6
2006,MD,Pregnancy Rate,15-17,34.1
2007,MD,Pregnancy Rate,15-17,34.6
2008,MD,Pregnancy Rate,15-17,33.7
2009,MD,Pregnancy Rate,15-17,32.3
2010,MD,Pregnancy Rate,15-17,29.4
2011,MD,Pregnancy Rate,15-17,28.4
2012,MD,Pregnancy Rate,15-17,23.2
2013,MD,Pregnancy Rate,15-17,21.7
2014,MD,Pregnancy Rate,15-17,19
2015,MD,Pregnancy Rate,15-17,17.6
2016,MD,Pregnancy Rate,15-17,15.5
1988,MA,Pregnancy Rate,15-17,63.4
1992,MA,Pregnancy Rate,15-17,52.8
1996,MA,Pregnancy Rate,15-17,47.3
2000,MA,Pregnancy Rate,15-17,33.3
2005,MA,Pregnancy Rate,15-17,25.5
2006,MA,Pregnancy Rate,15-17,24.6
2007,MA,Pregnancy Rate,15-17,25.5
2008,MA,Pregnancy Rate,15-17,22.2
2009,MA,Pregnancy Rate,15-17,22
2010,MA,Pregnancy Rate,15-17,18.8
2011,MA,Pregnancy Rate,15-17,17.3
2012,MA,Pregnancy Rate,15-17,14.7
2013,MA,Pregnancy Rate,15-17,12.1
2014,MA,Pregnancy Rate,15-17,10.5
2015,MA,Pregnancy Rate,15-17,9.3
2016,MA,Pregnancy Rate,15-17,8.1
1988,MI,Pregnancy Rate,15-17,73.4
1992,MI,Pregnancy Rate,15-17,66
1996,MI,Pregnancy Rate,15-17,54.5
2000,MI,Pregnancy Rate,15-17,42.2
2005,MI,Pregnancy Rate,15-17,32.4
2006,MI,Pregnancy Rate,15-17,31.6
2007,MI,Pregnancy Rate,15-17,31.3
2008,MI,Pregnancy Rate,15-17,31.2
2009,MI,Pregnancy Rate,15-17,29.2
2010,MI,Pregnancy Rate,15-17,26
2011,MI,Pregnancy Rate,15-17,22.4
2012,MI,Pregnancy Rate,15-17,20.6
2013,MI,Pregnancy Rate,15-17,18
2014,MI,Pregnancy Rate,15-17,15.5
2015,MI,Pregnancy Rate,15-17,13.5
2016,MI,Pregnancy Rate,15-17,12.8
1988,MN,Pregnancy Rate,15-17,41.2
1992,MN,Pregnancy Rate,15-17,36.5
1996,MN,Pregnancy Rate,15-17,33.1
2000,MN,Pregnancy Rate,15-17,26.1
2005,MN,Pregnancy Rate,15-17,20.6
2006,MN,Pregnancy Rate,15-17,22.9
2007,MN,Pregnancy Rate,15-17,22.5
2008,MN,Pregnancy Rate,15-17,20.7
2009,MN,Pregnancy Rate,15-17,18.5
2010,MN,Pregnancy Rate,15-17,16.3
2011,MN,Pregnancy Rate,15-17,14.7
2012,MN,Pregnancy Rate,15-17,13.7
2013,MN,Pregnancy Rate,15-17,11.5
2014,MN,Pregnancy Rate,15-17,10.8
2015,MN,Pregnancy Rate,15-17,9.1
2016,MN,Pregnancy Rate,15-17,8.5
1988,MS,Pregnancy Rate,15-17,78.1
1992,MS,Pregnancy Rate,15-17,85.9
1996,MS,Pregnancy Rate,15-17,71.3
2000,MS,Pregnancy Rate,15-17,63
2005,MS,Pregnancy Rate,15-17,44.7
2006,MS,Pregnancy Rate,15-17,53.4
2007,MS,Pregnancy Rate,15-17,54.7
2008,MS,Pregnancy Rate,15-17,48.5
2009,MS,Pregnancy Rate,15-17,46.5
2010,MS,Pregnancy Rate,15-17,42.5
2011,MS,Pregnancy Rate,15-17,35.7
2012,MS,Pregnancy Rate,15-17,31
2013,MS,Pregnancy Rate,15-17,27.6
2014,MS,Pregnancy Rate,15-17,24.3
2015,MS,Pregnancy Rate,15-17,22.3
2016,MS,Pregnancy Rate,15-17,20.9
1988,MO,Pregnancy Rate,15-17,60.8
1992,MO,Pregnancy Rate,15-17,60.4
1996,MO,Pregnancy Rate,15-17,47.8
2000,MO,Pregnancy Rate,15-17,39.3
2005,MO,Pregnancy Rate,15-17,30.9
2006,MO,Pregnancy Rate,15-17,33.9
2007,MO,Pregnancy Rate,15-17,32.6
2008,MO,Pregnancy Rate,15-17,32.1
2009,MO,Pregnancy Rate,15-17,29.1
2010,MO,Pregnancy Rate,15-17,25.3
2011,MO,Pregnancy Rate,15-17,23.7
2012,MO,Pregnancy Rate,15-17,20.9
2013,MO,Pregnancy Rate,15-17,18.3
2014,MO,Pregnancy Rate,15-17,16.6
2015,MO,Pregnancy Rate,15-17,14.8
2016,MO,Pregnancy Rate,15-17,13.9
1988,MT,Pregnancy Rate,15-17,47.6
1992,MT,Pregnancy Rate,15-17,49.2
1996,MT,Pregnancy Rate,15-17,38.3
2000,MT,Pregnancy Rate,15-17,32.9
2005,MT,Pregnancy Rate,15-17,30.2
2006,MT,Pregnancy Rate,15-17,28.4
2007,MT,Pregnancy Rate,15-17,27.2
2008,MT,Pregnancy Rate,15-17,29.3
2009,MT,Pregnancy Rate,15-17,29.5
2010,MT,Pregnancy Rate,15-17,21.4
2011,MT,Pregnancy Rate,15-17,21.1
2012,MT,Pregnancy Rate,15-17,20.3
2013,MT,Pregnancy Rate,15-17,19.2
2014,MT,Pregnancy Rate,15-17,19.5
2015,MT,Pregnancy Rate,15-17,16.1
2016,MT,Pregnancy Rate,15-17,14.8
1988,NE,Pregnancy Rate,15-17,47.5
1992,NE,Pregnancy Rate,15-17,39.5
1996,NE,Pregnancy Rate,15-17,35.6
2000,NE,Pregnancy Rate,15-17,31.5
2005,NE,Pregnancy Rate,15-17,27
2006,NE,Pregnancy Rate,15-17,23.4
2007,NE,Pregnancy Rate,15-17,25.4
2008,NE,Pregnancy Rate,15-17,25.6
2009,NE,Pregnancy Rate,15-17,24.7
2010,NE,Pregnancy Rate,15-17,21.5
2011,NE,Pregnancy Rate,15-17,19.4
2012,NE,Pregnancy Rate,15-17,18.3
2013,NE,Pregnancy Rate,15-17,16.1
2014,NE,Pregnancy Rate,15-17,13.6
2015,NE,Pregnancy Rate,15-17,14.1
2016,NE,Pregnancy Rate,15-17,12
1988,NV,Pregnancy Rate,15-17,86.4
1992,NV,Pregnancy Rate,15-17,89.5
1996,NV,Pregnancy Rate,15-17,88.5
2000,NV,Pregnancy Rate,15-17,67.1
2005,NV,Pregnancy Rate,15-17,51.8
2006,NV,Pregnancy Rate,15-17,51.8
2007,NV,Pregnancy Rate,15-17,49.3
2008,NV,Pregnancy Rate,15-17,48.5
2009,NV,Pregnancy Rate,15-17,42.7
2010,NV,Pregnancy Rate,15-17,35
2011,NV,Pregnancy Rate,15-17,32.5
2012,NV,Pregnancy Rate,15-17,26.8
2013,NV,Pregnancy Rate,15-17,21.4
2014,NV,Pregnancy Rate,15-17,20.9
2015,NV,Pregnancy Rate,15-17,20.6
2016,NV,Pregnancy Rate,15-17,17.2
1988,NH,Pregnancy Rate,15-17,61.2
1992,NH,Pregnancy Rate,15-17,31.3
1996,NH,Pregnancy Rate,15-17,32.4
2000,NH,Pregnancy Rate,15-17,22.4
2005,NH,Pregnancy Rate,15-17,15.1
2006,NH,Pregnancy Rate,15-17,15.5
2007,NH,Pregnancy Rate,15-17,15.1
2008,NH,Pregnancy Rate,15-17,14.3
2009,NH,Pregnancy Rate,15-17,13.4
2010,NH,Pregnancy Rate,15-17,11.8
2011,NH,Pregnancy Rate,15-17,11.8
2012,NH,Pregnancy Rate,15-17,12.1
2013,NH,Pregnancy Rate,15-17,9.7
2014,NH,Pregnancy Rate,15-17,9.2
2015,NH,Pregnancy Rate,15-17,8.4
2016,NH,Pregnancy Rate,15-17,7.6
1988,NJ,Pregnancy Rate,15-17,70.8
1992,NJ,Pregnancy Rate,15-17,61.5
1996,NJ,Pregnancy Rate,15-17,62
2000,NJ,Pregnancy Rate,15-17,52.4
2005,NJ,Pregnancy Rate,15-17,41.3
2006,NJ,Pregnancy Rate,15-17,37
2007,NJ,Pregnancy Rate,15-17,33
2008,NJ,Pregnancy Rate,15-17,34.6
2009,NJ,Pregnancy Rate,15-17,28.5
2010,NJ,Pregnancy Rate,15-17,26.7
2011,NJ,Pregnancy Rate,15-17,25.4
2012,NJ,Pregnancy Rate,15-17,19.3
2013,NJ,Pregnancy Rate,15-17,18.2
2014,NJ,Pregnancy Rate,15-17,15.9
2015,NJ,Pregnancy Rate,15-17,16.1
2016,NJ,Pregnancy Rate,15-17,15.5
1988,NM,Pregnancy Rate,15-17,79.7
1992,NM,Pregnancy Rate,15-17,84.2
1996,NM,Pregnancy Rate,15-17,72.1
2000,NM,Pregnancy Rate,15-17,63.4
2005,NM,Pregnancy Rate,15-17,56.7
2006,NM,Pregnancy Rate,15-17,56.1
2007,NM,Pregnancy Rate,15-17,56.5
2008,NM,Pregnancy Rate,15-17,55.7
2009,NM,Pregnancy Rate,15-17,53
2010,NM,Pregnancy Rate,15-17,46.4
2011,NM,Pregnancy Rate,15-17,40.7
2012,NM,Pregnancy Rate,15-17,37.2
2013,NM,Pregnancy Rate,15-17,33.2
2014,NM,Pregnancy Rate,15-17,28.2
2015,NM,Pregnancy Rate,15-17,25.2
2016,NM,Pregnancy Rate,15-17,23.6
1988,NY,Pregnancy Rate,15-17,75.6
1992,NY,Pregnancy Rate,15-17,79.3
1996,NY,Pregnancy Rate,15-17,66.7
2000,NY,Pregnancy Rate,15-17,56.9
2005,NY,Pregnancy Rate,15-17,46.1
2006,NY,Pregnancy Rate,15-17,44.7
2007,NY,Pregnancy Rate,15-17,42.9
2008,NY,Pregnancy Rate,15-17,42.2
2009,NY,Pregnancy Rate,15-17,39.8
2010,NY,Pregnancy Rate,15-17,36.3
2011,NY,Pregnancy Rate,15-17,32.7
